# courses.csv
id,courseCode,name,courseType,branch,section,lecture,theory,practical,credits,hoursPerWeek,eligibleFacultyIds
# 68,CS471,Deep Computer Vision,elective,CSE,Combined,4,0,0,4,4,12
# 69,CS462,Computer Graphics,elective,CSE,Combined,4,0,0,4,4,38
# 70,CS472,Bioinformatics,elective,CSE,Combined,4,0,0,4,4,34
# #
# 71,DS401,Healthcare Data Analytics,regular,DSAI,,3,1,0,4,4,13
# 72,DS401,Introduction to Cybersecurity,regular,DSAI,,3,1,0,4,4,25
# 73,DS401,Advanced Optimization Technique,regular,DSAI,,3,1,0,4,4,36
# 74,DS401,Data Science System,regular,DSAI,,3,1,0,4,4,2
# 75,DS401,DevOps,elective,DSAI,,3,1,0,4,4,28
# 76,DS401,Human-Computer Interaction,elective,DSAI,,3,1,0,4,4,7
# #
# 77,EC462,Generative AI,regular,ECE,,3,1,0,4,4,20
# 78,EC463,Energy Efficient Neural Networks,regular,ECE,,3,1,0,4,4,15
# 79,CS367,Image Processing and Computer Vision,regular,ECE,,3,1,0,4,4,30
# 80,EC464,Antennas & Radar Systems,regular,ECE,,3,1,0,4,4,31
